tags
(character fusion)
(implied character resemblances)
(mentions of) - Character
6ix Savage
? - Character
A.I. (Cat Pictures Please)
AI (Cat Pictures Please)
Abby Yates
Abena (Homegoing)
Ace McShane
Adam Eddington
Aeslin Mice
Agatha Trunchbull
Agatha Trunchbull (mentioned)
Agrajag (mentioned)
Alabaster (Broken Earth)
Alec Hardison
Alec Hardison's Grandmother
Aleksis Kaidanovsky
Alex Healy
Alex Murry
Alex Steiner (Mentioned)
Alexander Hamilton
Alexander H–
Alexander Ramadier (OC)
Alice
Alicia Way
Aliss (Fire)
Allah (Muslim God)
Allie (The Power)
Allison Hargreeves
Allison Hargreeves (mentioned)
Alma Coin
Alpha 9000s
Amae Rali
Amara Namani
Amelia Cackle | Ada Cackle
Amitiel | Jade
Aneka (Marvel)
Ann Bradshaw
Anna
Anna (Graceling Realm)
Anna Marie LeBeau
Annie & Finnick's Son
Annie Cresta
Anthony Crowley
Anthony Greendown
Arabella Hempnettle
Archer (Fire)
Archer (Graceling Realm)
Archer (Seven Kingdoms Trilogy)
Arthur Dent
Arthur Harrington
Artis Corbin
Artis Corbin (mentioned)
Ashby Santoso
Ashby Santoso (mentioned)
Ashen
Ashen (Bitterblue)
Ashen (Seven Kingdoms Trilogy)
Asher
Asher (The Giver)
Asher's parents
Ayo (Marvel)
Aziraphale
Aziraphale (Good Omens)
Background & Cameo Characters
Badoula Oblongata
Bailey (The Night Circus)
Bailey Alden Clarke
Bailey Clarke
Baldr | Baldur
Bangkok-girl
Bann
Bann (Graceling)
Bann (Seven Kingdoms Trilogy)
Bast
Bast (American Gods)
Belladonna Boudreaux
Bellamew (Seven Kingdoms Trilogy)
Ben Hargreeves
Ben Hargreeves (mentioned)
Ben Solo | Kylo Ren
Ben Suliman
Bernie Monke
Bethany (Cat Pictures Please)
Bilquis
Bilquis (American Gods)
Binti (Binti)
Bisimbi Bi Masa
Bitterblue
Bitterblue (Graceling Realm)
Bitterblue (Graceling)
Bitterblue (Seven Kingdoms Trilogy)
Black Panther
Blotchy the Dog (Seven Kingdoms Trilogy)
Blotchy the dog
Blue (Wayfarers Series)
Bobbi Morse
Bobby Drake
Brad (Perks of Being a Wallflower)
Bren (Bitterblue)
Bren (Graceling Realm)
Bren (Seven Kingdoms Trilogy)
Brian Braddock
"Brianna ""Bri"" Lawson"
Brianna Lawson
Brigan
Brigan (Fire)
Brigan (Graceling Realm)
Brigan (Seven Kingdoms Trilogy)
Brighid
Brocker
Brocker (Fire)
Brocker (Graceling Realm)
Bruce Banner
Bruno Carrelli
Brutus (Hunger Games)
Bucky
Buffy Meissonier
Calcifer
Calcifer (Howl Series)
Calvin O'Keefe
Calvin O’Keefe
Candace (Perks of Being a Wallflower)
Cansrel
Cansrel (Graceling Realm)
Captain Hook | Killian Jones
Captain Marvel
Carbon dioxide
Carol Danvers
"Carolyn ""Kali"" Cutter"
Casiopea Tun
Cassian Andor
Castiel
Cato (Hunger Games)
Celia Bowen
Celia's mother
Cet
Cha-Cha (Umbrella Academy)
Charles Delmany (OC)
Charles Wallace
Charles Wallace Murray
Charles Wallace Murry
Charles Xavier
Charlie
Charlie (Perks of Being a Wallflower)
Charlie Kelmeckis
Chaz Rali
CheshireCat
CheshireCat (CatNet)
Chief Elder
Chuck Hansen
Ché (Dirty Computer)
Cimorene (Enchanted Forest)
Cindi Mayweather
Cindi Mayweather - mentioned
Cinna
Cinna (Hunger Games)
Claire
Claire (Umbrella Academy)
Clara (Graceling Realm)
Clara (Seven Kingdoms Trilogy)
Clint Barton
Clove (Hunger Games)
Corbin
Coriolanus Snow
Coru (Broken Earth)
Cressida (Hunger Games)
Crowley (Good Omens)
Curtis Brinkley
Czernobog (American Gods)
DJ Crash Crash
DJ Mellark
Daken Akihiro
Damaya | Essun | Syenite
Damien Moreau
Dane Whitman
Danny Rand
Darcy Lewis
Darius (Hunger Games)
Dave (Umbrella Academy)
Dave Katz
Dave Katz (mentioned)
"David ""Dave"" Katz"
David Xanatos
Dean Winchester
Dear Friend
Death (Bitterblue)
