tags
(as a background feature of the 'verse)
(implied) Bitterblue/Giddon
(implied) Bitterblue/Saf
Adam Eddington/Poly O'Keefe
Alabaster/Damaya | Essun | Syenite/Innon
Alec Hardison/Eliot Spencer
Alec Hardison/Parker
Alec Hardison/Parker/Eliot Spencer
Aleksis Kaidanovsky/Sasha Kaidanovsky
Alex Murry/Kate Murry
Alexander Hamilton & James Hamilton
Alexander Hamilton & Rachel Faucette
Aliss/Brocker
Allie/Roxy
Allison Hargreeves & Ben Hargreeves
Allison Hargreeves & Ben Hargreeves & Klaus Hargreeves
Allison Hargreeves & Klaus Hargreeves
Allison Hargreeves & Luther Hargreeves
Allison Hargreeves & Vanya Hargreeves
Allison Hargreeves/Luther Hargreeves
Allison Hargreeves/Patrick
Amae & Isaac
Amae Rali/Elida Al-Feyr
Amara Namani & Jake Pentecost
Amara Namani & Raleigh Becket
Amelia Cackle | Ada Cackle/Hardbroom
Amelia Cackle | Ada Cackle/Hardbroom/Minerva McGonagall
Amida
Aneka/Ayo (Marvel)
Ann Bradshaw/Thomas Doyle
Anna/Bitterblue
Annie Cresta & Johanna Mason
Annie Cresta & Peeta Mellark
Annie Cresta/Finnick Odair
Annie Cresta/Katniss Everdeen
Anthony Greendown/Cindi Mayweather
Arabella Hempnettle/Dimity Drill
Arthur Dent & Ford Prefect
Arthur Dent/Fenchurch/Ford Prefect
Arthur Dent/Ford Prefect
Arthur Dent/Trillian
Ashby Santoso & Sissix (Wayfarers Series)
Ashby Santoso/Pei (Wayfarers Series)
Ashen/Leck
Ashen/Thiel
Asher (The Giver)/Jonas (The Giver)
Ayo/Aneka
Ayo/Natasha Romanov
Aziraphale & Crowley
Aziraphale & Crowley (Good Omens)
Aziraphale/Crowley
Aziraphale/Crowley (Good Omens)
Background Katniss Everdeen/Peeta Mellark
Background: Annie Cresta/Finnick Odair
Badoula/Janelle Monae
"Bailey Alden Clarke/Penelope Aislin ""Poppet"" Murray"
"Bailey Alden Clarke/Penelope Aislin ""Poppet"" Murray/Winston Aiden ""Widget"" Murray"
Bailey Clarke & Poppet Murray & Widget Murray
Bailey Clarke/Poppet Murray
Bailey Clarke/Widget Murray
Bann/Raffin
Bann/Raffin (Seven Kingdoms Trilogy)
Bast/Google
Belladonna Boudreaux & Darcy Lewis
Belladonna Boudreaux/Remy LeBeau
Ben Hargreeves & Diego Hargreeves
Ben Hargreeves & Diego Hargreeves & Klaus Hargreeves
Ben Hargreeves & Everyone
Ben Hargreeves & Klaus Hargreeves
Ben Hargreeves & Luther Hargreeves
Ben Hargreeves & Vanya Hargreeves
Ben Hargreeves/Diego Hargreeves
Ben Hargreeves/Diego Hargreeves/Klaus Hargreeves
Ben Hargreeves/Klaus Hargreeves
Bilquis/Mazikeen
Bilquis/Media (American Gods)
Bitter blue and everyone really but
Bitterblue & Anna (Graceling realm)
Bitterblue & Ashen
Bitterblue & Hava
Bitterblue & Katsa (Graceling Realm)
Bitterblue & Saf | Sapphire Birch (Graceling Realm)
Bitterblue & Teddy | Teddren (Graceling Realm)
Bitterblue/Bren/Tilda
Bitterblue/Giddon
Bitterblue/Giddon (Seven Kingdoms Trilogy)
Bitterblue/Hanna (implied)
Bitterblue/Raffin
Bitterblue/Saf
Bitterblue/Saf (Seven Kingdoms Trilogy)
Bitterblue/Skye
Bitterblue/Skye/Saf
Bitterblue/Teddy
Black Panther / Reader
Black Panther x Reader
Black Panther/Reader
Blueberry Mary/Cindi Mayweather
Brad & Patrick (Perks of Being a Wallflower)
Brad/Patrick (Perks of Being a Wallflower)
Bren/Tilda
Bren/Tilda (Seven Kingdoms Trilogy)
Brianna Lawson & Jayda Lawson
